"route_short_name";"route_long_name";"first_bus_departure";"last_bus_arrival";"service_span_hours";"total_daily_trips";"avg_wait_time_minutes"
"109";"New Westminster Station/Lougheed Station";" 5:05:00";"26:16:00";21.2;67;19.0
"733";"Rock Ridge/Haney Place/Port Haney Station";" 5:03:00";"21:19:00";16.3;51;19.1
"745";"Haney Place/Cottonwood";" 5:04:00";"21:53:00";16.8;52;19.4
"746";"Haney Place/Albion";" 5:21:00";"21:34:00";16.2;50;19.5
"N22";"Downtown/Macdonald NightBus";"25:40:00";"27:37:00";2.0;6;19.5
"181";"Moody Centre Station/Ioco";" 5:55:00";"24:16:00";18.4;56;19.7
"744";"Haney Place/Maple Meadows Station/Meadowtown";" 5:16:00";"22:42:00";17.4;53;19.7
"N10";"Downtown/Richmond NightBus";"25:15:00";"29:34:00";4.3;13;19.9
"256";"Whitby Estate/Park Royal/Spuraway";" 6:05:00";"19:59:00";13.9;41;20.3
"370";"Cloverdale/Willowbrook";" 6:00:00";"20:57:00";15.0;44;20.4
"251";"Queens/Park Royal";" 6:15:00";"23:20:00";17.1;50;20.5
"743";"Haney Place/Maple Meadows Station/Meadowtown";" 5:00:00";"23:13:00";18.2;53;20.6
"132";"Capitol Hill/Hastings @ Gilmore";" 6:11:00";"21:59:00";15.8;46;20.6
"413";"Riverport/Steveston";" 8:00:00";"20:28:00";12.5;36;20.8
"620";"Tsawwassen Ferry/Bridgeport Station";" 6:00:00";"23:31:00";17.5;50;21.0
"314";"Surrey Central/Sunbury";" 5:16:00";"24:58:00";19.7;56;21.1
"131";"Hastings @ Gilmore/Kootenay Loop";" 6:00:00";"22:10:00";16.2;46;21.1
"252";"Inglewood/Park Royal";" 6:00:00";"23:46:00";17.8;50;21.3
"N24";"Downtown/Lynn Valley NightBus";"24:59:00";"28:12:00";3.2;9;21.4
"253";"Caulfeild/Vancouver/Park Royal";" 6:13:00";"23:10:58";17.0;46;22.1
"254";"British Properties/Park Royal/Van";" 6:53:00";"23:31:51";16.6;40;25.0
"N19";"Downtown/Surrey Central Station NightBus";"24:50:00";"29:40:00";4.8;11;26.4
"241";"Upper Lonsdale/Downtown";" 6:27:00";"20:08:00";13.7;30;27.4
"563";"Langley Centre/Fernridge";" 4:30:00";"23:15:00";18.8;40;28.1
"619";"Boundary Bay/South Delta Recreation Centre";" 9:15:00";"21:37:00";12.4;26;28.5
"614";"English Bluff/South Delta Exchange";" 9:35:00";"22:07:00";12.5;26;28.9
"262";"Lions Bay/Caulfeild";" 6:27:00";"20:00:00";13.6;28;29.0
"560";"Murrayville/Langley Centre";" 6:30:00";"24:00:00";17.5;36;29.2
"416";"East Cambie/Brighouse Station";" 5:56:00";"19:33:00";13.6;28;29.2
"564";"Langley Centre/Willowbrook";" 7:00:00";"22:05:00";15.1;30;30.2
"561";"Langley Centre/Brookswood";" 6:05:00";"24:25:00";18.3;36;30.6
"394";"White Rock/King George Station Express";" 4:28:00";"19:46:00";15.3;28;32.8
"603";"Beach Grove/Bridgeport";" 5:22:00";"19:48:00";14.4;26;33.3
"604";"English Bluff/Bridgeport";" 6:00:00";"19:34:00";13.6;24;33.9
"329";"Surrey Central Station/Scottsdale";" 7:07:00";"18:00:00";10.9;19;34.4
"311";"Scottsdale/Bridgeport Station";" 4:30:00";"19:44:00";15.2;25;36.6
"352";"Ocean Park/Bridgeport Station";" 4:39:00";"19:49:00";15.2;22;41.4
"602";"Tsawwassen Heights/Bridgeport";" 5:38:00";"18:46:00";13.1;18;43.8
"395";"Langley Centre/King George Station";" 5:06:00";"20:06:00";15.0;20;45.0
"509";"Walnut Grove/Surrey Central Station";" 5:24:00";"18:58:00";13.6;17;47.9
"749";"Ruskin/Haney Place";" 6:49:00";"20:00:00";13.2;15;52.7
"354";"White Rock South/Bridgeport Station";" 5:09:00";"19:06:00";14.0;15;55.8
"748";"Thornhill/Haney Place";" 5:45:00";"19:29:00";13.7;14;58.9
"231";"Harbourside/Lonsdale Quay";" 7:20:00";"17:56:00";10.6;10;63.6
"393";"Newton Exchange/Surrey Central Station";" 5:51:00";"19:36:00";13.8;12;68.8
"N9";"Downtown/Lougheed Station/Coquitlam Central Station";" 3:33:00";"29:25:00";25.9;21;73.9
"247";"Grouse Mountain/Downtown";" 6:26:00";"18:55:00";12.5;10;74.9
"391";"Scottsdale/Scott Road Station";" 5:20:00";"18:39:00";13.3;10;79.9
