"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"080";0;"80 Marine Dr Exp/To River District";1;26;0.0;6.0;5.0
"080";1;"80 Marine Dr Exp/To Marine Dr Station";1;26;0.0;5.0;6.0
"084";0;"84 VCC-Clark Station Express";1;67;0.0;13.0;14.0
"084";1;"84 UBC Express";1;67;0.0;12.0;13.0
"099";0;"99 Broadway B-Line/To Boundary Loop";1;50;0.0;3.0;22.0
"099";0;"99 Broadway B-Line/To Commercial-Broadway Station";2;175;0.0;25.0;29.0
"099";1;"99 Broadway B-Line/To Alma St";1;2;0.0;0.0;0.0
"099";1;"99 Broadway B-Line/To UBC Exchange";2;224;0.0;30.0;40.0
"100";0;"100 22nd St Station ";1;83;0.0;9.0;15.0
"100";0;"100 22nd St Station via Trapp";1;27;0.0;3.0;5.0
"100";1;"100 Marpole";1;81;0.0;9.0;11.0
"100";1;"100 Marpole via Trapp";1;28;0.0;3.0;5.0
"101";0;"101 Lougheed Station";1;43;0.0;6.0;9.0
"101";1;"101 22nd St Station";1;42;0.0;6.0;8.0
"102";0;"102 Victoria Hill";1;75;0.0;12.0;15.0
"102";1;"102 New Westminster Station";1;75;0.0;12.0;14.0
"103";0;"103 New West Station";1;75;0.0;12.0;15.0
"103";1;"103 Quayside";1;75;0.0;12.0;15.0
"104";0;"104 22nd St Station";2;65;0.0;6.0;14.0
"104";1;"104 Annacis Island";1;56;0.0;7.0;12.0
"104";1;"104 Queensborough";1;7;0.0;0.0;0.0
"105";0;"105 Uptown";1;36;0.0;6.0;5.0
"105";1;"105 New West Station";1;36;0.0;6.0;5.0
"106";0;"106 New West Station";1;102;0.0;15.0;20.0
"106";1;"106 Edmonds Station";1;101;0.0;15.0;19.0
"109";0;"109 Lougheed Station";1;34;0.0;6.0;6.0
"109";1;"109 New West Station";1;33;0.0;6.0;6.0
"110";0;"110 Lougheed Station";2;46;0.0;6.0;9.0
"110";1;"110 Metrotown Station";2;45;0.0;6.0;8.0
"112";0;"112 New West Station";1;67;0.0;12.0;10.0
"112";1;"112 Edmonds Station";1;67;0.0;12.0;9.0
"116";0;"116 Edmonds Station";2;62;0.0;6.0;12.0
"116";1;"116 Metrotown Station";1;52;0.0;7.0;11.0
"116";1;"116 To Byrne Rd";1;12;0.0;0.0;0.0
"119";0;"119 Kingsway To Edmonds Station";1;89;0.0;14.0;14.0
"119";1;"119 Kingsway To Metrotown Station";1;88;0.0;15.0;14.0
"123";0;"123 New West Station";3;92;0.0;12.0;24.0
"123";1;"123 Brentwood Station";2;76;0.0;12.0;12.0
"123";1;"123 To Sixth Ave";1;16;0.0;0.0;12.0
"128";0;"128 8th Avenue To Braid Station";1;59;0.0;9.0;10.0
"128";1;"128 22nd St Station";1;1;0.0;0.0;0.0
"128";1;"128 8th Avenue To 22nd St Station";1;60;0.0;9.0;11.0
"129";0;"129 Holdom Station";1;49;0.0;6.0;10.0
"129";1;"129 Patterson Station";1;52;0.0;6.0;12.0
"130";0;"130 Willingdon/To Kootenay Loop";1;51;0.0;2.0;13.0
"130";0;"130 Willingdon/To Phibbs Exchange";1;72;0.0;20.0;12.0
"130";1;"130 Willingdon/To Metrotown Station";3;124;0.0;22.0;20.0
"131";0;"131 Hastings @ Gilmore";1;23;0.0;3.0;6.0
"131";1;"131 Kootenay Loop";1;23;0.0;3.0;6.0
